firstName,lastName,phone,address,age,email
Corie,D'Amore,(143) 651-8259,"Suite 371 50526 Auer Oval, North Iraside, MT 03416-7349",74,dollie.fahey@gmail.com
Eugena,D'Amore,(791) 589-6398,"Apt. 239 03318 Jone Canyon, West Nery, NY 99771",65,lawerence.bahringer@yahoo.com
Freeman,D'Amore,034-393-6211,"Suite 490 2890 Jennie Run, Blickview, AL 70894",22,lucius.jenkins@yahoo.com
Heath,D'Amore,605.809.2050,"Apt. 081 597 Borer Forks, Sawaynchester, PA 79408-0325",36,lupita.collins@hotmail.com
Miyoko,D'Amore,1-611-350-9984 x926,"6412 Hyun Fork, Altonmouth, VT 09288",71,archie.daniel@gmail.com
Nada,D'Amore,356-558-0113 x8124,"Apt. 913 4977 Sharmaine Route, Oliverview, IL 48469-8824",35,terrell.pfannerstill@hotmail.com
Orval,D'Amore,026.616.9668 x001,"30037 Buck Isle, Shanemouth, NC 82315",20,nadine.kuhn@yahoo.com
Sanford,D'Amore,1-251-612-6969 x1890,"Suite 301 753 Nolan Track, Rogerport, NY 09231-6174",10,ray.bahringer@yahoo.com
Sophie,D'Amore,1-015-953-6562 x7180,"Suite 955 50057 Erika Inlet, Predovicfurt, NE 81182-1227",35,hollis.beer@yahoo.com
Talia,D'Amore,(369) 178-4889,"124 Xiao Rue, South Elishamouth, WV 35519",39,alexander.kirlin@yahoo.com
Boyce,Dach,541.131.7526,"1631 Kautzer Mission, Brandonmouth, IN 33104-8655",66,carmon.hayes@hotmail.com
Dwight,Dach,1-425-987-0600,"Suite 565 703 Brittney Knolls, Jaimemouth, TN 61270-7322",41,earle.nienow@hotmail.com
Floyd,Dach,944-100-9462,"Suite 462 676 Kub Mountain, Vandervortport, KY 30574-8113",67,glynis.bogan@hotmail.com
Luke,Dach,029.081.6536 x917,"Apt. 338 188 Logan Club, Port Elwood, HI 02549",19,julian.torphy@yahoo.com
Ronni,Dach,(538) 070-9467,"Apt. 411 9169 Kiehn Burg, East Romaineview, NV 70305",20,jeanette.schuppe@gmail.com
